runId,algorithmName,inputSize,timeNs,memoryKb,dateRun
RUN001,QuickSort,10000,8332000,1044.33,2026-07-02
RUN002,LinearSearch,1000,638174,340.2,2026-07-04
RUN003,Kruskal,5000,5890062,1529.13,2026-07-02
RUN004,SelectionSort,10000,13956115,3568.26,2026-07-04
RUN005,LinearSearch,100,145159,46.71,2026-07-03
RUN006,QuickSort,10000,4495479,788.97,2026-07-01
RUN007,DFS,5000,14439329,2321.99,2026-07-06
RUN008,BFS,1000,551539,179.8,2026-07-06
RUN009,BFS,100,210627,19.24,2026-07-03
RUN010,LinearSearch,100,203638,18.86,2026-07-07
RUN011,LinearSearch,500,1951339,138.51,2026-07-06
RUN012,LinearSearch,100,239780,8.18,2026-07-07
RUN013,DFS,1000,2970910,150.66,2026-07-07
RUN014,Prim,500,1083097,130.14,2026-07-06
RUN015,DFS,10000,32886146,4790.56,2026-07-06
RUN016,SelectionSort,100,302914,18.66,2026-07-05
RUN017,BFS,1000,151981,214.73,2026-07-03
RUN018,BFS,5000,19915471,2465.49,2026-07-05
RUN019,LinearSearch,1000,2878268,361.52,2026-07-01
RUN020,QuickSort,1000,895033,347.38,2026-07-07
RUN021,QuickSort,1000,1940829,237.15,2026-07-02
RUN022,QuickSort,100,183868,31.98,2026-07-02
RUN023,Kruskal,5000,2922787,2443.92,2026-07-07
RUN024,SelectionSort,100,204816,14.43,2026-07-07
RUN025,MergeSort,100,82942,41.6,2026-07-05
RUN026,BFS,100,26887,39.81,2026-07-07
RUN027,Prim,10000,29999712,1177.75,2026-07-04
RUN028,SelectionSort,500,790625,151.1,2026-07-01
RUN029,SelectionSort,100,175520,6.3,2026-07-07
RUN030,DFS,500,864598,152.08,2026-07-07
