fromLocationId,toLocationId,distance,travelTime,roadConditionWeight
L034,L049,1.88,6.3,4
L049,L018,3.13,16.5,2
L018,L006,3.05,15.8,4
L018,L032,1.25,7.5,4
L032,L005,2.12,11.8,2
L049,L016,0.89,2.9,1
L034,L021,2.77,16.6,5
L034,L020,0.67,4.0,1
L005,L038,2.31,9.8,4
L018,L008,1.58,7.5,4
L034,L035,1.69,5.3,1
L049,L047,0.92,4.9,1
L049,L002,0.91,2.9,3
L021,L024,3.08,17.3,4
L016,L019,1.9,9.1,5
L047,L033,0.71,2.5,2
L002,L023,0.76,2.9,3
L034,L022,3.21,10.6,4
L023,L042,2.54,13.2,3
L023,L001,2.42,8.5,1
L023,L048,1.78,7.4,3
L018,L025,2.24,12.2,5
L032,L009,0.7,2.4,2
L038,L043,1.17,6.8,5
L033,L041,1.4,5.9,1
L016,L030,2.23,10.8,3
L042,L012,2.9,16.0,2
L024,L029,3.16,14.4,2
L049,L004,2.17,9.1,2
L006,L040,3.42,11.8,3
L018,L011,0.93,3.1,5
L019,L037,0.36,1.4,5
L030,L007,1.86,9.4,2
L037,L036,1.76,9.9,3
L032,L045,1.15,6.1,4
L022,L015,3.12,16.0,1
L029,L044,1.26,6.3,5
L021,L039,2.73,14.5,4
L011,L003,2.09,11.4,2
L040,L010,2.61,8.7,1
L030,L028,2.83,10.4,4
L040,L050,2.63,13.0,2
L033,L046,1.8,8.3,4
L024,L013,3.05,11.5,3
L041,L017,1.7,7.3,5
L010,L027,0.28,1.4,4
L034,L014,2.77,14.9,5
L002,L031,1.12,5.0,2
L021,L026,2.41,11.5,1
L037,L044,3.13,11.7,3
L045,L043,0.65,2.2,5
L028,L019,2.62,12.6,2
L046,L044,0.83,4.1,1
L034,L003,3.28,12.8,5
L012,L008,1.52,5.0,5
L018,L019,2.52,10.3,4
L048,L042,2.36,8.7,3
L044,L019,1.85,8.6,2
L045,L026,1.85,10.9,4
L001,L015,3.26,17.2,1
L035,L033,1.46,6.9,1
L036,L047,1.26,5.3,5
L049,L033,0.56,3.1,2
L009,L016,1.46,8.0,3
L028,L012,3.19,17.7,3
L047,L018,0.64,3.7,4
L050,L036,1.84,9.9,1
L005,L041,2.15,6.7,1
L020,L014,2.99,11.3,3
L038,L048,0.83,3.9,2
L010,L044,3.36,20.1,2
L001,L014,2.14,11.7,4
L022,L047,1.61,5.1,2
L037,L031,2.47,8.4,2
L017,L012,1.89,10.5,3
L039,L035,2.65,12.8,1
L022,L006,2.68,12.1,2
L017,L027,2.89,11.8,5
L024,L041,2.0,7.1,2
L046,L005,2.58,13.6,3
L016,L028,2.35,7.3,4
L031,L036,3.3,13.9,3
L050,L027,1.09,3.3,5
L002,L020,1.75,9.9,1
L013,L037,1.42,4.3,5
L017,L045,2.41,13.7,1
L001,L032,1.96,10.2,3
L043,L001,2.84,13.0,2
L006,L008,1.7,6.0,1
L031,L019,2.93,14.4,2
L002,L042,1.23,5.9,3
L025,L022,1.56,5.9,3
L025,L013,2.51,12.2,5
L031,L029,0.6,3.2,4
L006,L029,0.59,3.3,3
L029,L046,2.54,8.3,2
L046,L006,2.08,9.3,3
L032,L039,1.37,5.0,5
L004,L034,1.64,8.6,4
L029,L048,2.37,10.0,4
