requestId,source,destination,category,urgency,timeSubmitted,deadline,status
R0001,L026,L011,IT Support,Low,2026-07-14 20:29:00,2026-07-17 20:29:00,Pending
R0002,L005,L029,Shuttle Request,Medium,2026-07-17 06:27:00,2026-07-18 06:27:00,Assigned
R0003,L021,L018,Furniture Repair,Low,2026-07-03 14:10:00,2026-07-06 14:10:00,Completed
R0004,L002,L028,Furniture Repair,Critical,2026-07-05 11:54:00,2026-07-05 13:54:00,Completed
R0005,L008,L035,Waste Collection,Medium,2026-07-21 19:42:00,2026-07-22 19:42:00,In Progress
R0006,L012,L017,Waste Collection,High,2026-07-05 07:22:00,2026-07-05 13:22:00,Completed
R0007,L029,L041,Cleaning,Medium,2026-07-15 07:53:00,2026-07-16 07:53:00,Completed
R0008,L007,L012,Waste Collection,Low,2026-07-16 19:06:00,2026-07-19 19:06:00,Completed
R0009,L022,L028,Electrical,Critical,2026-07-02 10:48:00,2026-07-02 12:48:00,Completed
R0010,L047,L010,Shuttle Request,Low,2026-07-20 05:30:00,2026-07-23 05:30:00,Completed
R0011,L026,L016,WiFi Outage,Low,2026-07-17 00:13:00,2026-07-20 00:13:00,Pending
R0012,L028,L041,WiFi Outage,Low,2026-07-17 01:29:00,2026-07-20 01:29:00,Pending
R0013,L043,L029,Plumbing,Critical,2026-07-04 03:14:00,2026-07-04 05:14:00,Pending
R0014,L017,L044,IT Support,Critical,2026-07-09 21:59:00,2026-07-09 23:59:00,Pending
R0015,L039,L033,Electrical,Critical,2026-07-10 01:14:00,2026-07-10 03:14:00,Completed
R0016,L014,L042,Furniture Repair,Low,2026-07-04 20:51:00,2026-07-07 20:51:00,Assigned
R0017,L043,L023,WiFi Outage,Low,2026-07-05 07:36:00,2026-07-08 07:36:00,Pending
R0018,L032,L023,Plumbing,High,2026-07-05 11:45:00,2026-07-05 17:45:00,Assigned
R0019,L031,L026,Electrical,Critical,2026-07-18 03:59:00,2026-07-18 05:59:00,Completed
R0020,L032,L021,WiFi Outage,Medium,2026-07-16 13:54:00,2026-07-17 13:54:00,Completed
